Article_ID,DOI,Authors,Year,Continent,Country,City,Bee genus,Bee species,Bee merged,Bee full,Abundance,Bee_ID_per_study,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Anthidium,oblongatum,Anthidium oblongatum,"Anthidium oblongatum Illiger, 1806",20,41,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Augochlorella,aurata,Augochlorella aurata,"Augochlorella aurata Smith, 1853",20,42,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Andrena,commoda,Andrena commoda,"Andrena commoda Smith, 1879",17,43,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Chelostoma,campanularum,Chelostoma campanularum,"Chelostoma campanularum Kirby, 1802",17,44,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,oenotherae,Lasioglossum oenotherae,"Lasioglossum oenotherae Stevens, 1920",17,45,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Hoplitis,spoliata,Hoplitis spoliata,"Hoplitis spoliata Provancher, 1888",15,46,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Hylaeus,annulatus,Hylaeus annulatus,"Hylaeus annulatus Linnaeus, 1758",15,47,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Megachile,campanulae,Megachile campanulae,"Megachile campanulae Robertson, 1903",15,48,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Megachile,brevis,Megachile brevis,"Megachile brevis Say, 1837",14,49,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Coelioxys,sayi,Coelioxys sayi,"Coelioxys sayi Robertson, 1897",12,50,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Megachile,lapponica,Megachile lapponica,"Megachile lapponica Thomson, 1872",12,51,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Melissodes,desponsus,Melissodes desponsus,"Melissodes desponsus Smith, 1854",11,52,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Megachile,A1,Megachile A1,Megachile A1,10,53,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Peponapis,pruinosa,Peponapis pruinosa,"Peponapis pruinosa Say, 1837",10,54,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Anthophora,terminalis,Anthophora terminalis,"Anthophora terminalis Cresson, 1869",8,55,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,A1,Lasioglossum A1,Lasioglossum A1,8,56,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,pectorale,Lasioglossum pectorale,"Lasioglossum pectorale Smith, 1853",8,57,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,quebecense,Lasioglossum quebecense,"Lasioglossum quebecense Crawford, 1907",8,58,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Andrena,wheeleri,Andrena wheeleri,"Andrena wheeleri Graenicher, 1904",7,59,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Hoplitis,pilosifrons,Hoplitis pilosifrons,"Hoplitis pilosifrons Cresson, 1864",7,60,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,cressonii,Lasioglossum cressonii,"Lasioglossum cressonii Robertson, 1890",7,61,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,versatum,Lasioglossum versatum,"Lasioglossum versatum Robertson, 1902",7,62,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Megachile,relativa,Megachile relativa,"Megachile relativa Cresson, 1878",7,63,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,hitchensi,Lasioglossum hitchensi,"Lasioglossum hitchensi Gibbs, 2012",6,64,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,perpunctatum,Lasioglossum perpunctatum,"Lasioglossum perpunctatum Ellis, 1913",6,65,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Andrena,nivalis,Andrena nivalis,"Andrena nivalis Smith, 1853",4,66,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Coelioxys,octodentatus,Coelioxys octodentatus,"Coelioxys octodentatus Say, 1824",4,67,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Hoplitis,A1,Hoplitis A1,Hoplitis A1,4,68,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,admirandum,Lasioglossum admirandum,"Lasioglossum admirandum Sandhouse, 1924",4,69,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,foxii,Lasioglossum foxii,"Lasioglossum foxii Robertson, 1895",4,70,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,versans,Lasioglossum versans,"Lasioglossum versans Lovell, 1905",4,71,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Osmia,albiventris,Osmia albiventris,"Osmia albiventris Cresson, 1864",4,72,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Agapostemon,sericeus,Agapostemon sericeus,"Agapostemon sericeus Forster, 1771",3,73,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Andrena,cressonii,Andrena cressonii,"Andrena cressonii Robertson, 1891",3,74,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Bombus,citrinus,Bombus citrinus,"Bombus citrinus Smith, 1854",3,75,,,,,,,,,,,,,,
