buffer,ID,mean.temp,mean.temp.corr
Buffer_250.shp,15,105.2288903,0.522889032
Buffer_250.shp,150,115.8477176,1.584771762
Buffer_250.shp,151,114.5912535,1.459125347
Buffer_250.shp,152,97.08058093,-0.291941907
Buffer_250.shp,153,115.8345101,1.58345101
Buffer_250.shp,154,112.378055,1.237805503
Buffer_250.shp,155,122.4094188,2.240941882
Buffer_250.shp,156,118.4592993,1.845929933
Buffer_250.shp,157,114.5065589,1.450655892
Buffer_250.shp,158,116.3171023,1.631710233
Buffer_250.shp,159,115.803574,1.580357398
Buffer_250.shp,16,111.8299907,1.182999068
Buffer_250.shp,160,111.4557389,1.145573887
Buffer_250.shp,161,114.5880633,1.458806326
Buffer_250.shp,162,111.8294434,1.182944342
Buffer_250.shp,163,101.9750703,0.197507029
Buffer_250.shp,164,109.4785869,0.947858686
Buffer_250.shp,165,112.6357421,1.26357421
Buffer_250.shp,166,103.0037342,0.300373417
Buffer_250.shp,167,112.5725314,1.257253139
Buffer_250.shp,168,98.68349288,-0.131650712
Buffer_250.shp,169,111.4340772,1.143407716
Buffer_250.shp,17,115.6596085,1.565960851
Buffer_250.shp,170,90.07913233,-0.992086767
Buffer_250.shp,171,109.585445,0.958544503
Buffer_250.shp,172,109.4794004,0.947940036
Buffer_250.shp,173,109.1154781,0.911547807
Buffer_250.shp,174,108.7413765,0.874137655
Buffer_250.shp,175,102.1379629,0.213796288
Buffer_250.shp,176,106.783442,0.678344197
Buffer_250.shp,177,112.0678615,1.206786146
Buffer_250.shp,178,13.45299039,-8.654700961
Buffer_250.shp,179,101.9947804,0.199478042
Buffer_250.shp,18,117.6471494,1.764714936
Buffer_250.shp,180,94.67412109,-0.532587891
Buffer_250.shp,181,99.75216005,-0.024783995
Buffer_250.shp,182,0,-10
Buffer_250.shp,183,0,-10
Buffer_250.shp,184,89.36328685,-1.063671315
Buffer_250.shp,19,122.5428162,2.254281615
Buffer_250.shp,2,111.5216173,1.152161728
Buffer_250.shp,20,107.6172867,0.761728675
Buffer_250.shp,21,112.7575351,1.275753511
Buffer_250.shp,22,121.2230103,2.122301027
Buffer_250.shp,23,107.0452584,0.704525836
Buffer_250.shp,24,127.7360227,2.773602266
Buffer_250.shp,25,109.5870922,0.958709221
Buffer_250.shp,26,107.5490858,0.754908581
Buffer_250.shp,27,124.9260669,2.492606687
Buffer_250.shp,28,128.3368981,2.833689806
Buffer_250.shp,29,117.5283149,1.752831491
Buffer_250.shp,3,63.30550619,-3.669449381
Buffer_250.shp,30,127.0855253,2.708552526
