buffer,ID,mean.NDVI
Bufer_1000.shp,172,0.324006281
Bufer_1000.shp,173,0.372625922
Bufer_1000.shp,174,0.421041433
Bufer_1000.shp,175,0.132011934
Bufer_1000.shp,176,0.280059795
Bufer_1000.shp,177,0.159750978
Bufer_1000.shp,178,0.191097994
Bufer_1000.shp,179,0.141961278
Bufer_1000.shp,18,0.398792737
Bufer_1000.shp,180,0.261667444
Bufer_1000.shp,181,0.499909428
Bufer_1000.shp,182,0.127690032
Bufer_1000.shp,183,0.084679749
Bufer_1000.shp,184,0.330117809
Bufer_1000.shp,19,0.192578087
Bufer_1000.shp,2,0.384364932
Bufer_1000.shp,20,0.418484062
Bufer_1000.shp,21,0.439303826
Bufer_1000.shp,22,0.266922411
Bufer_1000.shp,23,0.415796629
Bufer_1000.shp,24,0.039465141
Bufer_1000.shp,25,0.381711518
Bufer_1000.shp,26,0.402875631
Bufer_1000.shp,27,0.115857038
Bufer_1000.shp,28,0.045440768
Bufer_1000.shp,29,0.290943733
Bufer_1000.shp,3,0.137707786
Bufer_1000.shp,30,0.135764573
Bufer_1000.shp,31,0.426310942
Bufer_1000.shp,32,0.460098759
Bufer_1000.shp,33,0.493095137
Bufer_1000.shp,34,0.452693966
Bufer_1000.shp,35,0.210814563
Bufer_1000.shp,36,0.476457501
Bufer_1000.shp,37,0.12332285
Bufer_1000.shp,38,0.362016561
Bufer_1000.shp,39,0.356658931
Bufer_1000.shp,4,0.1350755
Bufer_1000.shp,40,0.313854624
Bufer_1000.shp,41,0.223956496
Bufer_1000.shp,42,0.365018582
Bufer_1000.shp,43,0.004136824
Bufer_1000.shp,44,0.338956813
Bufer_1000.shp,45,0.439371397
Bufer_1000.shp,46,0.272055745
Bufer_1000.shp,47,0.330236702
Bufer_1000.shp,48,0.400987308
Bufer_1000.shp,49,0.164107582
Bufer_1000.shp,5,0.076457223
Bufer_1000.shp,50,0.352805039
Bufer_1000.shp,51,0.107781265
Bufer_1000.shp,52,-0.012966984
Bufer_1000.shp,53,-0.015844014
Bufer_1000.shp,54,0.013689514
Bufer_1000.shp,55,0.10276746
Bufer_1000.shp,56,-0.016274383
Bufer_1000.shp,57,0.411251029
Bufer_1000.shp,58,0.366559005
Bufer_1000.shp,59,0.15912092
Bufer_1000.shp,6,0.326175544
Bufer_1000.shp,60,0.277349736
Bufer_1000.shp,61,0.157122586
